name,lat,long,address,rating,num_review
San Diego Auto Star Smog Service & Repair,32.76315,-117.1310359," 2912, Adams Avenue, North Park, San Diego, San Diego County, California, 92116, United States of America",-1,-1
Active Auto Dismantlers Inc.,32.705777,-117.1336579," 15, 28th Street, North Park, San Diego, San Diego County, California, 92113, United States of America",-1,-1
Cash For Cars,32.769003,-117.0496299," 6880, El Cajon Boulevard, San Diego, San Diego County, California, 92115, United States of America",5,3
Brown Field Truck & Auto Dismantling,32.57183458,-116.9983607," 1342, Otay Valley Road, Chula Vista, San Diego County, California, 92154, United States of America",5,1
A Atlas Auto Recycling 2,32.57843338,-116.9972891," 935, Heritage Road, San Diego, San Diego County, California, 92173, United States of America",-1,-1
El Cajon Automatic Transmission,32.755055,-117.0973859," 4501, El Cajon Boulevard, North Park, San Diego, San Diego County, California, 92115, United States of America",5,1
Genesee Auto Care,32.832287,-117.1574059," 7515, Clairemont Mesa Boulevard, San Diego, San Diego County, California, 92111, United States of America",-1,-1
AAMCO Transmissions & Total Car Care,32.7626718,-117.1978995," Morena Boulevard, Old Town, San Diego, San Diego County, California, 92110, United States of America",5,21
Stanco Automotive Air,32.758613,-117.1966109," 4277, Taylor Street, Old Town, San Diego, San Diego County, California, 92110, United States of America",5,6
Maaco Collision Repair & Auto Painting,32.837941,-117.1355969," 5670, Kearny Villa Road, San Diego, San Diego County, California, 92123, United States of America",4,8
SE Collision Center,32.745743,-117.1918399," 2175, Hancock Street, Old Town, San Diego, San Diego County, California, 92137, United States of America",4,5
Firestone Complete Auto Care,32.913286,-117.1489469," 9690, Reagan Road, San Diego, San Diego County, California, 92126, United States of America",3,1
Firestone Complete Auto Care,32.717201,-117.1542689," 1136, C Street, Hillcrest, San Diego, San Diego County, California, 92101, United States of America",-1,-1
AAMCO Transmissions & Total Car Care,32.815479,-117.1549269," 3950, Convoy Street, Mission Valley, San Diego, San Diego County, California, 92111, United States of America",-1,-1
Firestone Complete Auto Care,32.81819,-117.1543849," 4161, Convoy Street, Mission Valley, San Diego, San Diego County, California, 92111, United States of America",-1,-1
Firestone Complete Auto Care,32.79811,-117.2471809," 1245, Garnet Avenue, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",-1,-1
Safelite AutoGlass - San Diego,32.892968,-117.1519419," 7880, Dunbrook Road, San Diego, San Diego County, California, 92126, United States of America",-1,-1
AAMCO Transmissions & Total Car Care,32.8780391,-117.170615," Evans Tire Store 65, 6696, Miramar Road, San Diego, San Diego County, California, 92121, United States of America",-1,-1
Chapparone Auto Body & Painting,32.821282,-117.1500519," 8039, Balboa Avenue, Mission Valley, San Diego, San Diego County, California, 92111, United States of America",4,1
Corvette A Dave Meyer Specialty,32.755343,-117.1214639," 3330, El Cajon Boulevard, North Park, San Diego, San Diego County, California, 92104, United States of America",-1,-1
Junk That Car,32.75987275,-117.0699356," 5905, El Cajon Boulevard, North Park, San Diego, San Diego County, California, 92115, United States of America",-1,-1
The Dent Medics,32.828921,-117.1953279," 4541, Chinook Court, San Diego, San Diego County, California, 92117, United States of America",5,2
A & D Autowerks,32.835655,-117.1523969," Convoy Street, San Diego, San Diego County, California, 92111, United States of America",-1,-1
Maya Auto sales,32.570107,-116.9968569," Heritage Road, San Ysidro, San Diego, San Diego County, California, 92173, United States of America",-1,-1
ASAP AUTO REPAIR,32.5844211,-117.0944651," 1818, Palm Avenue, Palm City, South San Diego, San Diego, San Diego County, California, 92154, United States of America",5,5
Allman Family Auto,32.769082,-117.0454779," 7066, El Cajon Boulevard, San Diego, San Diego County, California, 92115, United States of America",5,2
Auto Radio Specialists Inc.,32.721768,-117.1680039," 1565, India Street, Hillcrest, San Diego, San Diego County, California, 92101, United States of America",5,1
Bob Brown's Automotive Service Inc.,32.75441,-117.0603389," 6250, University Avenue, San Diego, San Diego County, California, 92115, United States of America",5,1
Lindy's Auto Upholstery,32.76849,-117.0409619," 7269, El Cajon Boulevard, San Diego, San Diego County, California, 92115, United States of America",3,1
Tire Express,32.774109,-117.1743029," 6625, Linda Vista Road, Mission Valley, San Diego, San Diego County, California, 92111, United States of America",1,1
J C Auto Glass,32.75034,-117.1301499," 30th Street, North Park, San Diego, San Diego County, California, 92104:92116, United States of America",-1,-1
Amercan Tire Depot,32.8185771,-117.1546725," American Tire Depot, 4183, Convoy Street, Mission Valley, San Diego, San Diego County, California, 92111, United States of America",-1,-1
Miramar 76 Service Center,32.8770958,-117.1827328," Miramar Road, San Diego, San Diego County, California, 92126, United States of America",-1,-1
Mission Upholstery,32.711966,-117.1383219," 2592, Market Street, North Park, San Diego, San Diego County, California, 92102, United States of America",-1,-1
Dirt Cheap Car Rental,32.754252,-117.2025659," 3860, Rosecrans Street, Old Town, San Diego, San Diego County, California, 92110, United States of America",-1,-1
Wholesale Automotive Machine,32.789661,-117.0973589," 6347, Mission Gorge Road, North Park, San Diego, San Diego County, California, 92120, United States of America",-1,-1
Bear's Tire Inc,32.8852137,-117.1689912," 7023, Carroll Road, San Diego, San Diego County, California, 92121, United States of America",5,6
EW Truck & Equipment Co.,32.730417,-117.0620739," 6336, Federal Boulevard, Lemon Grove, San Diego County, California, 92114, United States of America",5,1
A & B Truck Recycling,32.70508,-117.1325179," 2863, Commercial Street, North Park, San Diego, San Diego County, California, 92113, United States of America",4,4
Budget Muffler & Brake,32.755623,-117.0935819," 4699, El Cajon Boulevard, North Park, San Diego, San Diego County, California, 92115, United States of America",5,6
Jim's Auto Upholstery,32.820488,-117.1530019," 7902, Armour Street, Mission Valley, San Diego, San Diego County, California, 92111, United States of America",3,12
California Auto Wreck,32.57194043,-116.9997474," 6469, Datsun Street, San Ysidro, San Diego, San Diego County, California, 92154, United States of America",5,1
ABC Glass,32.824105,-117.1832279," 4417, Genesee Avenue, San Diego, San Diego County, California, 92117, United States of America",-1,-1
Dualtone Alignment Brakes & Mufflers,32.807156,-117.2188719," 4745, Mission Bay Drive, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",-1,-1
Miramar Transmission,32.890228,-117.1488689," 8015, Silverton Avenue, San Diego, San Diego County, California, 92126, United States of America",5,2
AAMCO Transmissions & Total Car Care,32.835655,-117.1523969," Convoy Street, San Diego, San Diego County, California, 92111, United States of America",5,60
Rapid Transmissions,32.835655,-117.1523969," Convoy Street, San Diego, San Diego County, California, 92111, United States of America",5,53
Siry Auto Group,32.832317,-117.1492579," 8085, Clairemont Mesa Boulevard, San Diego, San Diego County, California, 92111, United States of America",5,44
AAMCO Transmissions & Total Car Care,32.7626718,-117.1978995," Morena Boulevard, Old Town, San Diego, San Diego County, California, 92110, United States of America",5,20
Witt Lincoln,32.765116,-117.1596239," 588, Camino del Rio North, Mission Valley, San Diego, San Diego County, California, 92108, United States of America",5,70
Pacific Honda,32.82698645,-117.1535621," Pacific Honda, 4761, Convoy Street, San Diego, San Diego County, California, 92111, United States of America",4,74
Volkswagen of Kearny Mesa,32.8218009,-117.1600757," Balboa Avenue, Mission Valley, San Diego, San Diego County, California, 92117, United States of America",5,30
Earl Scheib Paint & Body,32.753775,-117.2028839," 3820, Rosecrans Street, Old Town, San Diego, San Diego County, California, 92110, United States of America",5,54
Ron's Auto Clinic,32.74788586,-117.1422723," 3840, Alabama Street, North Park, San Diego, San Diego County, California, 92104, United States of America",-1,-1
Courtesy Chevrolet San Diego,32.76509,-117.157515," 750, Camino del Rio North, Mission Valley, San Diego, San Diego County, California, 92108, United States of America",5,41
Smitty's Service,32.763143,-117.1191269," 3441, Adams Avenue, North Park, San Diego, San Diego County, California, 92116, United States of America",5,16
Mossy Nissan Kearny Mesa,32.833575,-117.1471669," 8118, Clairemont Mesa Boulevard, San Diego, San Diego County, California, 92111, United States of America",4,28
A Street Auto Service,32.718646,-117.1662059," 1263, State Street, Hillcrest, San Diego, San Diego County, California, 92101, United States of America",5,14
Loose Cannon Customs / Apex Body & Paint,32.889474,-117.1477589," 9219, Mira Este Court, San Diego, San Diego County, California, 92126, United States of America",5,13
BMW of San Diego,32.828527,-117.1443279," 5090, Kearny Mesa Road, San Diego, San Diego County, California, 92111, United States of America",5,16
Tune Craft Auto Centers,32.812064,-117.2013149," 3904, Clairemont Drive, Pacific Beach, San Diego, San Diego County, California, 92117, United States of America",5,12
Dave's Lamont Street Auto Repair,32.800287,-117.2354139," 4448, Lamont Street, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",5,13
San Diego Chrysler Dodge Jeep Ram,32.76397938,-117.1570594," 777, Camino del Rio South, Mission Valley, San Diego, San Diego County, California, 92108, United States of America",5,13
Future Automotive,33.01542712,-117.0778176," 11633, Iberia Place, San Diego, San Diego County, California, 92128, United States of America",5,3
Convoy Auto Repair AAA Approved,32.835655,-117.1523969," Convoy Street, San Diego, San Diego County, California, 92111, United States of America",4,4
Secor's German Motors,33.015385,-117.0784929," 11637, Iberia Place, San Diego, San Diego County, California, 92128, United States of America",-1,-1
JC Service,32.83078762,-117.1520273," 7879, Raytheon Road, San Diego, San Diego County, California, 92111, United States of America",5,3
Kennedy Auto Electric,32.825168,-117.1570839," 4645, Ruffner Street, San Diego, San Diego County, California, 92111, United States of America",5,2
Save Auto,32.891756,-117.1187829," 9280, Kearny Mesa Road, San Diego, San Diego County, California, 92126, United States of America",-1,-1
Bond's Automotive,32.769082,-117.0454779," 7066, El Cajon Boulevard, San Diego, San Diego County, California, 92115, United States of America",5,1
Hillcrest Smog & Repair,32.748071,-117.1641959," 3864, 1st Avenue, Hillcrest, San Diego, San Diego County, California, 92103, United States of America",3,3
Tunes Lubes & Smog II,32.73876087,-117.1010746," 3114, Fairmount Avenue, North Park, San Diego, San Diego County, California, 92105, United States of America",3,2
A To Z Auto Repair,32.5683103,-116.9968876," Otay Mesa Road, San Ysidro, San Diego, San Diego County, California, 92173, United States of America",3,2
Ray Frey Auto Center,32.828414,-117.1559869," 7696, Vickers Street, San Diego, San Diego County, California, 92111, United States of America",1,1
Total Auto Repair,32.7626718,-117.1978995," Morena Boulevard, Old Town, San Diego, San Diego County, California, 92110, United States of America",-1,-1
Mason's-Servicing BMW Automobiles,32.782586,-117.2067829," 2005, Morena Boulevard, Old Town, San Diego, San Diego County, California, 92110, United States of America",-1,-1
Eber's Street Garage,32.749146,-117.2413869," 2220, Ebers Street, Old Town, San Diego, San Diego County, California, 92107, United States of America",-1,-1
Diaz Auto Repair,32.569315,-117.0641109," 3185, Beyer Boulevard, Otay Mesa West, San Ysidro, San Diego, San Diego County, California, 92154, United States of America",-1,-1
Pro-Mex Automotive,32.741148,-117.1289879," 3036, Upas Street, North Park, San Diego, San Diego County, California, 92104, United States of America",-1,-1
A & S Auto Care,32.75297219,-117.2033881," 3794, Rosecrans Street, Old Town, San Diego, San Diego County, California, 92110, United States of America",-1,-1
B & R Auto Repair,32.742388,-117.0920479," 3461, Euclid Avenue, North Park, San Diego, San Diego County, California, 92105, United States of America",-1,-1
Pacific Beach Certified Auto,32.80728,-117.2551859," 5074, Cass Street, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",5,3
Hong Radiator Repair,32.757839,-117.0814399," 5312, El Cajon Boulevard, North Park, San Diego, San Diego County, California, 92115, United States of America",4,4
Maxoto Auto Service,32.745184,-117.2495659," 1869, Cable Street, Old Town, San Diego, San Diego County, California, 92107, United States of America",5,2
Market Auto Repair,32.71148834,-117.093428," 4702, Market Street, San Diego, San Diego County, California, 92102, United States of America",1,2
Ochoa's Auto Repair,32.755564,-117.1122599," 3762, El Cajon Boulevard, North Park, San Diego, San Diego County, California, 92105, United States of America",1,1
"San Diego Bus, RV And Auto Repair Inc",32.744133,-117.2347029," 2216, Catalina Boulevard, Old Town, San Diego, San Diego County, California, 92107, United States of America",-1,-1
San Diego Bus & Auto Repair,32.751047,-117.2444709," 4896, Voltaire Street, Old Town, San Diego, San Diego County, California, 92107, United States of America",-1,-1
General Auto Repair,32.70903085,-117.1502442," 367, 15th Street, Hillcrest, San Diego, San Diego County, California, 92101, United States of America",-1,-1
San Diego Collision Specialist,32.685955,-117.1144769," 3713, Dalbergia Street, San Diego, San Diego County, California, 92113, United States of America",-1,-1
B & B Auto Repair,32.728655,-117.0986989," 2281, Fairmount Avenue, North Park, San Diego, San Diego County, California, 92105, United States of America",-1,-1
Car Connection,32.705044,-117.1401539," 2501, Commercial Street, North Park, San Diego, San Diego County, California, 92113, United States of America",-1,-1
J & C Auto Mechanic,32.705525,-117.1340469," 6, 28th Street, North Park, San Diego, San Diego County, California, 92113, United States of America",-1,-1
Banny's Auto Repair,32.72340216,-117.1074673," 4104, Home Avenue, North Park, San Diego, San Diego County, California, 92105, United States of America",-1,-1
Haig's Complete Auto Repair,32.7499202,-117.1121538," El Salvador Pupuseria, 3750, University Avenue, North Park, San Diego, San Diego County, California, 92105, United States of America",-1,-1
Randy Auto Repair,32.755905,-117.112635," 4310, McClintock Street, North Park, San Diego, San Diego County, California, 92105, United States of America",-1,-1
L2 Smog,32.755514,-117.1106939," 3850, El Cajon Boulevard, North Park, San Diego, San Diego County, California, 92105, United States of America",-1,-1
Rocky's Miatomotive,32.754779,-117.1068809," 4283, 41st Street, North Park, San Diego, San Diego County, California, 92105, United States of America",-1,-1
E & H Mobile Auto Repair,32.736338,-117.2320029," 3712, Wawona Drive, Old Town, San Diego, San Diego County, California, 92107, United States of America",-1,-1
Ob Smog Test Only,32.748967,-117.2411009," 4694, Voltaire Street, Old Town, San Diego, San Diego County, California, 92107, United States of America",-1,-1
Sunset Cliffs Automotive,32.750286,-117.2425999," 2231, Sunset Cliffs Boulevard, Old Town, San Diego, San Diego County, California, 92107, United States of America",-1,-1
Ob Auto Repair,32.7498558,-117.2427799," Shell, 4794, Voltaire Street, Old Town, San Diego, San Diego County, California, 92107, United States of America",-1,-1
D Mar Auto Repair,32.75061,-117.2447569," 4887, Voltaire Street, Old Town, San Diego, San Diego County, California, 92107, United States of America",5,2
Dan's Smog Check Station,32.749341,-117.0962819," 4555, University Avenue, North Park, San Diego, San Diego County, California, 92105, United States of America",3,4
Henry's Auto Repair Inc,32.749283,-117.0888799," 4881, University Avenue, North Park, San Diego, San Diego County, California, 92105, United States of America",5,1
Rx Master Automotive,32.78258275,-117.0989967," 5913, Mission Gorge Road, North Park, San Diego, San Diego County, California, 92120, United States of America",1,1
Aiwa Auto Repair,32.73909478,-117.1010693," 3150, Fairmount Avenue, North Park, San Diego, San Diego County, California, 92105, United States of America",-1,-1
555 Auto Repair & Body,32.749915,-117.1054159," 4150, University Avenue, North Park, San Diego, San Diego County, California, 92105, United States of America",-1,-1
City Heights Auto Repair,32.749199,-117.1041039," 3877, 42nd Street, North Park, San Diego, San Diego County, California, 92105, United States of America",-1,-1
A & C Tire Auto Repair,32.755535,-117.1026259," 4260, El Cajon Boulevard, North Park, San Diego, San Diego County, California, 92105, United States of America",-1,-1
Joe Jr Auto Repair,32.77377,-117.2041189," 1433, Morena Boulevard, Old Town, San Diego, San Diego County, California, 92110, United States of America",-1,-1
Motorcar Services,32.695701,-117.1218799," 3363, National Avenue, San Diego, San Diego County, California, 92113, United States of America",-1,-1
Peter Auto Repair,32.7286527,-117.0995768," 2286, Fairmount Avenue, North Park, San Diego, San Diego County, California, 92105, United States of America",-1,-1
George's Garage,32.728655,-117.0986989," 2281, Fairmount Avenue, North Park, San Diego, San Diego County, California, 92105, United States of America",-1,-1
Dennstedt's Auto Repair,32.754779,-117.1068809," 4283, 41st Street, North Park, San Diego, San Diego County, California, 92105, United States of America",5,2
Mobile Mechanic San Diego,32.72670778,-117.1638063," 2055, 1st Avenue, Hillcrest, San Diego, San Diego County, California, 92101, United States of America",-1,-1
J C L Auto Electric,32.697356,-117.1379599," 2602, Logan Avenue, North Park, San Diego, San Diego County, California, 92113, United States of America",-1,-1
J & B Mobile Mechanic Service,32.709432,-117.1034519," 4265, J Street, North Park, San Diego, San Diego County, California, 92102, United States of America",-1,-1
S Ca Transmission,32.744027,-117.2112739," 2904, Lytton Street, Old Town, San Diego, San Diego County, California, 92110, United States of America",-1,-1
Quick Vehicle Registration Svc,32.75814753,-117.0777536," 5454, El Cajon Boulevard, North Park, San Diego, San Diego County, California, 92115, United States of America",-1,-1
Fathom Change,32.777894,-117.0852259," 5118, Bixel Drive, San Diego, San Diego County, California, 92115, United States of America",-1,-1
Ortiz Automotive & Towing,32.695702,-117.1215809," 3369, National Avenue, San Diego, San Diego County, California, 92113, United States of America",5,1
Gas Depot Auto Repair,32.71239,-117.1488419," 1619, G Street, Hillcrest, San Diego, San Diego County, California, 92101, United States of America",5,4
The Original Specialists Jaguar Land Rover,32.82651481,-117.231906," 5191, Santa Fe Street, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",5,2
Cass Street Automotive,32.80883012,-117.25524," 5165, Cass Street, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",5,1
Caliber Collision,32.802822,-117.2284629," 2274, Garnet Avenue, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",-1,-1
Allman Family Auto,32.769082,-117.0454779," 7066, El Cajon Boulevard, San Diego, San Diego County, California, 92115, United States of America",-1,-1
The Mustang Shop of San Diego,32.734027,-117.1066689," 4124, Poplar Street, North Park, San Diego, San Diego County, California, 92105, United States of America",-1,-1
Qwik Auto Center,32.80559791,-117.2208405," 2707, Garnet Avenue, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",-1,-1
Zebra 3 Sd,32.8258209,-117.2312619," Red Truck Fire & Safety Co., 5555, Santa Fe Street, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",-1,-1
Guzman's Garage,32.696024,-117.1314765," 2902, National Avenue, San Diego, San Diego County, California, 92113, United States of America",5,1
Thomas M Cravey,32.782586,-117.2067829," 2005, Morena Boulevard, Old Town, San Diego, San Diego County, California, 92110, United States of America",5,1
Coventry Cars,32.817512,-117.2234099," 5097, Santa Fe Street, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",-1,-1
Hernandez Auto Axels Exchange,32.69499098,-117.1386598," 2340, Newton Avenue, San Diego, San Diego County, California, 92113, United States of America",-1,-1
Oab Auto Body,32.737301,-117.1756459," 3265, India Street, Hillcrest, San Diego, San Diego County, California, 92103, United States of America",-1,-1
National Brake Svc,32.706531,-117.1451749," 2040, Imperial Avenue, Hillcrest, San Diego, San Diego County, California, 92113, United States of America",-1,-1
Cougars Auto Repair & Alignment,32.70544192,-117.1310042," 2940, Commercial Street, North Park, San Diego, San Diego County, California, 92113, United States of America",-1,-1
Discount Auto Service Center,32.744807,-117.1850929," 1866, San Diego Avenue, Old Town, San Diego, San Diego County, California, 92110, United States of America",-1,-1
A and S Garages,32.75297219,-117.2033881," 3794, Rosecrans Street, Old Town, San Diego, San Diego County, California, 92110, United States of America",-1,-1
Land Rover Auto Specialist Repair & Service,32.75797442,-117.2150168," 3770, Hancock Street, Old Town, San Diego, San Diego County, California, 92110, United States of America",-1,-1
Muranyi Automotive Service Inc,32.7569733,-117.218437," 3475, Channel Way, Old Town, San Diego, San Diego County, California, 92110, United States of America",-1,-1
Los Reys Auto Center,32.71336,-117.0475079," 6975, Imperial Avenue, San Diego, San Diego County, California, 92114, United States of America",-1,-1
Jiffy Lube,32.805174,-117.2219359," 2651, Garnet Avenue, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",-1,-1
M & C Auto Repair,32.8016777,-117.2336929," 4518, Morrell Street, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",-1,-1
Quick Smog,32.800167,-117.2379299," 1741, Garnet Avenue, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",-1,-1
Kris Auto Repair,32.813194,-117.2190639," 5002, Santa Fe Street, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",-1,-1
Scotty's Auto Service,32.701261,-117.0220559," 8460, Parkbrook Street, Lomita, San Diego County, California, 92114, United States of America",-1,-1
Westcoast Auto Glass,32.758584,-117.0725119," 5803, El Cajon Boulevard, North Park, San Diego, San Diego County, California, 92115, United States of America",3,3
Quality Towing & Recovery,32.756912,-117.2104289," 3550, Kurtz Street, Old Town, San Diego, San Diego County, California, 92110, United States of America",-1,-1
Mission Hills Automotive,32.75014,-117.1663959," 308, West Washington Street, Hillcrest, San Diego, San Diego County, California, 92103, United States of America",5,4
Swedish Auto A B,32.73890545,-117.1804191," 3565, Pacific Highway, Hillcrest, San Diego, San Diego County, California, 92101, United States of America",-1,-1
Pacific Nissan,32.808736,-117.2166589," 4700, Santa Fe Street, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",-1,-1
San Diego Auto Clinic,32.745602,-117.1981119," 3546, Barnett Avenue, Old Town, San Diego, San Diego County, California, 92140, United States of America",-1,-1
AAMCO Transmissions & Total Car Care,32.736343,-117.1746049," 3141, India Street, Hillcrest, San Diego, San Diego County, California, 92103, United States of America",-1,-1
Rocky's Miatomotive,32.806281,-117.2165439," 2951, Garnet Avenue, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",-1,-1
Smog Oasis,32.74259533,-117.2091717," 3006, Barnett Avenue, Old Town, San Diego, San Diego County, California, 92110, United States of America",5,1
Kw Auto Repair,32.754794,-117.0918079," 4765, Trojan Avenue, North Park, San Diego, San Diego County, California, 92115, United States of America",5,1
Z & R Transmission,32.742328,-117.0925399," 3506, Euclid Avenue, North Park, San Diego, San Diego County, California, 92105, United States of America",-1,-1
Alignment Express Of California Inc.,32.800132,-117.0895099," 4748, Old Cliffs Road, San Diego, San Diego County, California, 92120, United States of America",-1,-1
